IES,TIPO DE IES,TIPO DE GESTION,DEPARTAMENTO/REGION,SEDE (DISTRITO),PROGRAMA ACADEMICO,MODALIDAD
413,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,DERECHO Y CIENCIA POLITICA
414,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,ENFERMERIA
415,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,INGENIERIA AGRONOMA
416,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,INGENIERIA CIVIL
417,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,INGENIERIA DE SISTEMAS E INFORMATICA
418,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,INGENIERIA EN INDUSTRIAS ALIMENTARIAS
419,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,OBSTETRICIA
420,UNIVERSIDAD NACIONAL DE BARRANCA,UNIVERSIDAD,PUBLICA,LIMA,BARRANCA,PSICOLOGIA
421,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,BAMBAMARCA,INGENIERIA EN AGRONEGOCIOS
422,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJABAMBA,INGENIERIA EN INDUSTRIAS ALIMENTARIAS
423,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,ADMINISTRACION
424,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,AGRONOMIA
425,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,BIOLOGIA Y BIOTECNOLOGIA
426,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,CONTABILIDAD
427,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,DERECHO
428,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,ECONOMIA
429,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,"EDUCACION - ESPECIALIDAD CIENCIAS NATURALES, QUIMICA Y BIOLOGIA"
430,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,EDUCACION - ESPECIALIDAD EDUCACION PRIMARIA
431,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,EDUCACION - ESPECIALIDAD INGLES - ESPAÑOL
432,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,EDUCACION - ESPECIALIDAD LENGUAJE Y LITERATURA
433,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,EDUCACION - ESPECIALIDAD MATEMATICA Y FISICA
434,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,ENFERMERIA
435,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA CIVIL
436,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA DE MINAS
437,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA DE SISTEMAS
438,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA EN INDUSTRIAS ALIMENTARIAS
439,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA FORESTAL
440,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA GEOLOGICA
441,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA HIDRAULICA
442,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,INGENIERIA ZOOTECNISTA
443,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,MEDICINA HUMANA
444,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,MEDICINA VETERINARIA
445,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,OBSTETRICIA
446,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,SOCIOLOGIA
447,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CAJAMARCA,TURISMO Y HOTELERIA
448,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CELENDIN,INGENIERIA AMBIENTAL
449,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CELENDIN,INGENIERIA SANITARIA
450,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CHOTA,CONTABILIDAD
451,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,CHOTA,ENFERMERIA
452,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,JAEN,ENFERMERIA
453,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,JAEN,INGENIERIA CIVIL
454,UNIVERSIDAD NACIONAL DE CAJAMARCA,UNIVERSIDAD,PUBLICA,CAJAMARCA,JAEN,INGENIERIA FORESTAL
455,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN LUIS,ADMINISTRACION
456,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN LUIS,ADMINISTRACION DE TURISMO Y HOTELERIA
457,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN LUIS,AGRONOMIA
458,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN LUIS,CONTABILIDAD
459,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,ADMINISTRACION
460,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,ADMINISTRACION DE TURISMO Y HOTELERIA
461,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,AGRONOMIA
462,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,CONTABILIDAD
463,UNIVERSIDAD NACIONAL DE CAÑETE,UNIVERSIDAD,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,INGENIERIA DE SISTEMAS
464,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE AGROPECUARIA
465,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE ARTES INDUSTRIALES
466,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE AUTOMATIZACION INDUSTRIAL
467,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE BIOLOGIA - CIENCIAS NATURALES
468,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE BIOLOGIA - INFORMATICA
469,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE CIENCIAS SOCIALES - FILOSOFIA
470,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE CIENCIAS SOCIALES - GEOGRAFIA
471,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE CIENCIAS SOCIALES - HISTORIA
472,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE CIENCIAS SOCIALES - PSICOLOGIA
473,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE CONSTRUCCION CIVIL
474,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE CONSTRUCCIONES METALICAS
475,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE DESARROLLO AMBIENTAL
476,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE DISEÑO INDUSTRIAL Y ARQUITECTONICO
477,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EBANISTERIA Y DECORACION
478,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION ARTISTICA - ARTES PLASTICAS
479,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION ARTISTICA - MUSICA
480,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION ARTISTICA - TEATRO
481,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION BASICA ALTERNATIVA - EDUCACION PRIMARIA
482,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION FISICA - DEPORTES
483,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION FISICA - EDADES TEMPRANAS
484,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION FISICA - POBLACIONES ESPECIALES
485,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION FISICA - RECREACION Y DEPORTE PARA TODOS
486,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION INICIAL - DISCAPACIDAD INTELECTUAL
487,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION INICIAL - NIÑEZ TEMPRANA
488,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION INTERCULTURAL BILINGÜE - LENGUA ESPAÑOLA
489,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE EDUCACION PRIMARIA - EDUCACION BASICA ALTERNATIVA
490,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE ELECTRICIDAD
491,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE ELECTRONICA E INFORMATICA
492,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE FISICA - MATEMATICA
493,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE FUERZA MOTRIZ
494,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE INDUSTRIA ALIMENTARIA Y NUTRICION
495,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE INFORMATICA
496,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE INGLES - ALEMAN
497,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE INGLES - ESPAÑOL COMO LENGUA EXTRANJERA
498,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE INGLES - FRANCES
499,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE INGLES - ITALIANO
500,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE LENGUA ESPAÑOLA
501,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE LENGUA ESPAÑOLA - INGLES
502,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE LITERATURA
503,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE MATEMATICA
504,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE MATEMATICA E INFORMATICA
505,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE MECANICA DE PRODUCCION
506,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE METALURGIA - JOYERIA
507,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE QUIMICA - CIENCIAS NATURALES
508,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,"EDUCACION CON ESPECIALIDAD DE QUIMICA, FISICA Y BIOLOGIA"
509,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE TECNOLOGIA DEL VESTIDO
510,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE TECNOLOGIA TEXTIL
511,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,EDUCACION CON ESPECIALIDAD DE TELECOMUNICACIONES E INFORMATICA
512,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,LURIGANCHO - CHOSICA,NUTRICION HUMANA
513,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,ADMINISTRACION DE EMPRESAS
514,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,ADMINISTRACION DE NEGOCIOS INTERNACIONALES
515,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,GASTRONOMIA
516,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,TURISMO Y HOTELERIA
517,UNIVERSIDAD NACIONAL DE FRONTERA,UNIVERSIDAD,PUBLICA,PIURA,SULLANA,ADMINISTRACION HOTELERA Y DE TURISMO
518,UNIVERSIDAD NACIONAL DE FRONTERA,UNIVERSIDAD,PUBLICA,PIURA,SULLANA,INGENIERIA AMBIENTAL
519,UNIVERSIDAD NACIONAL DE FRONTERA,UNIVERSIDAD,PUBLICA,PIURA,SULLANA,INGENIERIA DE INDUSTRIAS ALIMENTARIAS
520,UNIVERSIDAD NACIONAL DE FRONTERA,UNIVERSIDAD,PUBLICA,PIURA,SULLANA,INGENIERIA ECONOMICA
521,UNIVERSIDAD NACIONAL DE FRONTERA,UNIVERSIDAD,PUBLICA,PIURA,SULLANA,INGENIERIA EN BIOTECNOLOGIA
522,UNIVERSIDAD NACIONAL DE FRONTERA,UNIVERSIDAD,PUBLICA,PIURA,SULLANA,INGENIERIA FORESTAL
523,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,ACOBAMBA,AGRONOMIA
524,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,ACOBAMBA,INGENIERIA AGROINDUSTRIAL
525,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,DANIEL HERNANDEZ,INGENIERIA DE SISTEMAS
526,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,ADMINISTRACION
527,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,CIENCIAS SOCIALES Y DESARROLLO RURAL
528,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,CONTABILIDAD
529,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,DERECHO Y CIENCIAS POLITICAS
530,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,ECONOMIA
531,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,EDUCACION ESPECIAL
532,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,EDUCACION INICIAL E INTERCULTURAL BILINGÜE
533,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,EDUCACION PRIMARIA E INTERCULTURAL BILINGÜE
534,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,ENFERMERIA
535,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,INGENIERIA AMBIENTAL Y SANITARIA
536,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,INGENIERIA CIVIL
537,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,"MATEMATICA, COMPUTACION E INFORMATICA"
538,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,MEDICINA HUMANA
539,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,OBSTETRICIA
540,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,HUANCAVELICA,ZOOTECNIA
541,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,LIRCAY,INGENIERIA CIVIL
542,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,LIRCAY,INGENIERIA DE MINAS
543,UNIVERSIDAD NACIONAL DE HUANCAVELICA,UNIVERSIDAD,PUBLICA,HUANCAVELICA,PAMPAS,INGENIERIA ELECTRONICA
544,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,ARQUITECTURA
545,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,CIENCIA DE LA COMPUTACION
546,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,FISICA
547,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA AMBIENTAL
548,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA CIVIL
549,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE CIBERSEGURIDAD
550,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE HIGIENE Y SEGURIDAD INDUSTRIAL
551,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE MINAS
552,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE PETROLEO Y GAS NATURAL
553,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE SISTEMAS
554,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE SOFTWARE
555,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA DE TELECOMUNICACIONES
556,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA ECONOMICA
557,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA ELECTRICA
558,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA ELECTRONICA
559,UNIVERSIDAD NACIONAL DE INGENIERIA,UNIVERSIDAD,PUBLICA,LIMA,RIMAC,INGENIERIA ESTADISTICA
